date,open,high,close,low,volume,amount,factor
2015-07-17,123.292,128.886,122.791,112.968,7834772.0,920134656.0,1.002
2015-07-20,115.073,120.245,115.263,112.066,4958131.0,572092608.0,1.002
2015-07-21,109.259,118.28,115.384,107.355,3864655.0,445263712.0,1.002
2015-07-22,126.921,126.921,124.275,113.259,3876325.0,480304320.0,1.002
2015-07-23,122.28,125.548,125.297,118.661,2981075.0,363216480.0,1.002
2015-07-24,121.388,137.827,136.774,120.556,3657323.0,465521696.0,1.002
2015-07-27,133.847,141.335,134.258,126.3,2690405.0,360877920.0,1.002
2015-07-28,125.417,133.968,130.88,120.836,6644160.0,828724032.0,1.002
2015-07-29,126.891,136.323,133.346,125.297,2902575.0,380731232.0,1.002
2015-07-30,131.211,134.499,128.896,126.4,2221983.0,288761952.0,1.002
2015-07-31,127.302,140.333,131.341,116.005,10545791.0,1280711808.0,1.002
2015-08-03,125.297,131.311,124.976,123.292,4593933.0,577394304.0,1.002
2015-08-04,123.994,133.316,132.534,122.801,4474311.0,578343552.0,1.002
2015-08-05,130.309,140.613,129.517,129.307,3842890.0,513378976.0,1.002
2015-08-06,126.299,130.179,129.707,117.268,7349157.0,890919232.0,1.002
2015-08-07,129.407,132.314,130.169,119.994,6010510.0,766990720.0,1.002
2015-08-10,130.309,139.33,131.091,127.302,4041390.0,539028992.0,1.002
2015-08-11,143.34,143.34,130.53,129.206,3159200.0,420844096.0,1.002
2015-08-12,128.304,132.304,129.206,122.29,5172594.0,647512000.0,1.002
2015-08-13,135.822,135.822,125.538,122.28,4351717.0,548344640.0,1.002
2015-08-14,123.002,129.186,128.334,122.49,4478578.0,569899520.0,1.002
2015-08-17,129.908,138.328,134.91,129.457,4029430.0,540162944.0,1.002
2015-08-18,137.325,140.192,137.195,125.297,5348060.0,695537984.0,1.002
2015-08-19,131.321,135.431,133.897,130.339,1622249.0,215418944.0,1.002
2015-08-20,135.01,137.877,130.86,129.327,3718468.0,499295968.0,1.002
2015-08-21,127.302,135.261,132.915,125.798,4320529.0,565992704.0,1.002
2015-08-24,135.321,135.321,128.795,128.304,2937550.0,386063904.0,1.002
2015-08-25,124.295,130.279,128.565,121.237,5121891.0,647948352.0,1.002
2015-08-26,127.302,130.309,128.675,125.297,1933385.0,247425632.0,1.002
2015-08-27,126.46,130.008,128.695,126.4,1287206.0,164681936.0,1.002
2015-08-28,128.334,139.33,135.552,127.302,2715449.0,358289440.0,1.002
2015-08-31,133.316,139.711,138.047,130.81,2904294.0,389036384.0,1.002
2015-09-01,138.328,138.328,132.895,130.309,2454346.0,327099072.0,1.002
2015-09-02,129.367,138.328,135.682,126.891,3322685.0,441924288.0,1.002
2015-09-07,134.318,149.254,149.254,130.289,3620870.0,507708224.0,1.002
2015-09-08,148.352,159.378,151.97,143.37,4343867.0,652632768.0,1.002
2015-09-09,147.851,152.852,140.132,139.33,4999696.0,725892288.0,1.002
2015-09-10,134.82,134.82,127.803,126.119,7103668.0,909549440.0,1.002
2015-09-11,128.304,128.405,115.023,115.023,4170530.0,501072640.0,1.002
2015-09-14,103.526,103.526,103.526,103.526,1934700.0,199815808.0,1.002
2015-09-15,93.171,93.171,93.171,93.171,34500.0,3206775.0,1.002
2015-09-16,83.859,83.859,83.859,83.859,241900.0,20237354.0,1.002
2015-09-17,75.469,75.469,75.469,75.469,329200.0,24785468.0,1.002
2015-09-18,67.921,67.921,67.921,67.921,128400.0,8700384.0,1.002
2015-09-21,61.125,74.717,74.717,61.125,10727074.0,703057344.0,1.002
2015-09-22,70.146,73.164,70.537,68.142,8189662.0,576967616.0,1.002
2015-09-23,65.355,72.272,66.498,65.355,6662567.0,446849216.0,1.002
2015-09-24,67.36,68.162,66.718,65.455,5542496.0,368833792.0,1.002
2015-09-25,66.758,67.059,63.721,61.646,4818016.0,310211488.0,1.002
2015-09-28,63.05,65.956,65.104,58.068,8225238.0,505752384.0,1.002
2015-09-29,62.147,64.623,61.616,61.105,7220348.0,450358784.0,1.002
2015-09-30,64.152,64.152,62.478,61.947,4468674.0,281930720.0,1.002
2015-10-08,63.751,66.137,65.556,62.157,4381502.0,278079488.0,1.002
2015-10-09,65.155,65.646,64.313,63.952,3752487.0,241909200.0,1.002
2015-10-12,64.162,70.678,67.58,64.042,8701383.0,579843904.0,1.002
2015-10-13,67.159,70.166,69.635,66.738,8721665.0,595787968.0,1.002
2015-10-14,70.156,74.136,71.029,68.152,10446091.0,743473728.0,1.002
2015-10-15,68.964,72.181,71.419,68.332,8272746.0,582801984.0,1.002
2015-10-16,72.442,73.174,69.906,68.823,6939402.0,486514464.0,1.002
2015-10-19,69.876,73.144,72.753,67.961,8752608.0,613912768.0,1.002
2015-10-20,72.462,76.662,74.397,70.828,7985297.0,583136576.0,1.002
2015-10-21,73.174,74.477,66.959,66.959,7565153.0,537373632.0,1.002
2015-10-22,65.656,68.462,66.819,63.15,7096944.0,466892736.0,1.002
2015-10-23,66.117,69.615,67.881,65.846,5895845.0,401748096.0,1.002
2015-10-26,68.412,72.712,70.948,66.508,6662372.0,462006528.0,1.002
2015-10-27,70.156,70.567,68.733,65.666,5310000.0,362013408.0,1.002
2015-10-28,67.129,70.126,67.33,66.758,4283422.0,291383424.0,1.002
2015-10-29,67.971,69.004,67.3,66.818,3362910.0,227157104.0,1.002
2015-10-30,66.959,68.262,66.498,66.448,3151004.0,210614480.0,1.002
2015-11-02,64.593,67.66,64.643,63.15,3717030.0,242694336.0,1.002
2015-11-03,65.155,65.926,64.814,63.651,2653669.0,170914400.0,1.002
2015-11-04,65.545,69.014,68.974,65.215,5803386.0,390225664.0,1.002
2015-11-05,69.665,75.87,75.87,69.214,7011599.0,521298208.0,1.002
2015-11-06,83.097,83.458,83.458,78.687,11629064.0,949385344.0,1.002
2015-11-09,84.2,91.808,91.808,83.388,8033760.0,711591168.0,1.002
2015-11-10,94.223,95.797,88.159,87.718,9745760.0,880038400.0,1.002
2015-11-11,86.485,90.815,89.151,85.312,7618040.0,674144192.0,1.002
2015-11-12,88.019,89.212,87.828,85.703,6524771.0,569191104.0,1.002
2015-11-13,87.808,87.828,81.223,80.19,6548123.0,543547648.0,1.002
2015-11-16,77.263,83.829,82.646,77.183,4451288.0,361888480.0,1.002
2015-11-17,82.646,86.174,82.035,81.383,5017718.0,419356256.0,1.002
2015-11-18,81.393,83.949,78.727,78.185,3332074.0,268748608.0,1.002
2015-11-19,78.787,81.744,81.604,78.787,3689851.0,296038208.0,1.002
2015-11-20,82.205,83.187,81.894,79.759,3900341.0,316593792.0,1.002
2015-11-23,82.055,90.084,90.084,82.005,7081234.0,615614400.0,1.002
2015-11-24,93.111,99.095,93.692,91.718,9272781.0,885758656.0,1.002
2015-11-25,91.216,96.178,93.612,88.41,8117567.0,739176832.0,1.002
2015-11-26,92.62,95.807,89.252,89.101,6218858.0,574899264.0,1.002
2015-11-27,86.726,89.091,80.631,80.33,5739946.0,485742912.0,1.002
2015-11-30,79.749,88.69,88.139,77.444,6463496.0,536263232.0,1.002
2015-12-01,88.129,88.129,82.686,80.521,4745045.0,400519211.0,1.002
2015-12-02,81.704,82.696,80.421,77.183,3155674.0,251644240.0,1.002
2015-12-03,81.193,84.45,83.468,81.193,2704064.0,223362706.0,1.002
